#Motif	Logo	3 Top hits in databases
oligos_6nt_mkv4_m1	<img border='1' height='50' src='results/discovered_motifs/oligos_6nt_mkv4_m1/peak-motifs_oligos_6nt_mkv4_m1_logo.png'>	<u>versus jaspar_core_vertebrates:</u>  CEBPA, CEBPB, Sox17, </br><u>versus Schmidt_CEBPa_motif:</u>  do560+do843_mmus_cebpa_liver_meme_top_m1, </br>
positions_7nt_m1	<img border='1' height='50' src='results/discovered_motifs/positions_7nt_m1/peak-motifs_positions_7nt_m1_logo.png'>	<u>versus jaspar_core_vertebrates:</u>  CEBPB, CEBPA, Cebpa, </br><u>versus Schmidt_CEBPa_motif:</u>  do560+do843_mmus_cebpa_liver_meme_top_m1, </br>
positions_7nt_m2	<img border='1' height='50' src='results/discovered_motifs/positions_7nt_m2/peak-motifs_positions_7nt_m2_logo.png'>	<u>versus jaspar_core_vertebrates:</u>  CEBPA, CEBPB, Cebpa, </br><u>versus Schmidt_CEBPa_motif:</u>  do560+do843_mmus_cebpa_liver_meme_top_m1, </br>
positions_7nt_m3	<img border='1' height='50' src='results/discovered_motifs/positions_7nt_m3/peak-motifs_positions_7nt_m3_logo.png'>	<u>versus jaspar_core_vertebrates:</u>  CEBPA, Cebpa, CEBPA, </br><u>versus Schmidt_CEBPa_motif:</u>  do560+do843_mmus_cebpa_liver_meme_top_m1, </br>
positions_7nt_m4	<img border='1' height='50' src='results/discovered_motifs/positions_7nt_m4/peak-motifs_positions_7nt_m4_logo.png'>	<u>versus jaspar_core_vertebrates:</u>  CEBPA, CEBPB, CEBPA, </br><u>versus Schmidt_CEBPa_motif:</u>  do560+do843_mmus_cebpa_liver_meme_top_m1, </br>
positions_7nt_m5	<img border='1' height='50' src='results/discovered_motifs/positions_7nt_m5/peak-motifs_positions_7nt_m5_logo.png'>	<u>versus jaspar_core_vertebrates:</u>  CEBPA, CEBPB, CEBPA, </br><u>versus Schmidt_CEBPa_motif:</u>  do560+do843_mmus_cebpa_liver_meme_top_m1, </br>
oligos_8nt_mkv6_m1	<img border='1' height='50' src='results/discovered_motifs/oligos_8nt_mkv6_m1/peak-motifs_oligos_8nt_mkv6_m1_logo.png'>	<u>versus jaspar_core_vertebrates:</u>  CEBPA, CEBPB, Sox17, </br><u>versus Schmidt_CEBPa_motif:</u>  do560+do843_mmus_cebpa_liver_meme_top_m1, </br>
oligos_8nt_mkv6_m2	<img border='1' height='50' src='results/discovered_motifs/oligos_8nt_mkv6_m2/peak-motifs_oligos_8nt_mkv6_m2_logo.png'>	<u>versus jaspar_core_vertebrates:</u>  CEBPA, Sox17, CEBPB, </br><u>versus Schmidt_CEBPa_motif:</u>  do560+do843_mmus_cebpa_liver_meme_top_m1, </br>
oligos_8nt_mkv6_m3	<img border='1' height='50' src='results/discovered_motifs/oligos_8nt_mkv6_m3/peak-motifs_oligos_8nt_mkv6_m3_logo.png'>	<u>versus jaspar_core_vertebrates:</u>  CEBPA, CEBPB, Cebpa, </br><u>versus Schmidt_CEBPa_motif:</u>  do560+do843_mmus_cebpa_liver_meme_top_m1, </br>
oligos_8nt_mkv6_m4	<img border='1' height='50' src='results/discovered_motifs/oligos_8nt_mkv6_m4/peak-motifs_oligos_8nt_mkv6_m4_logo.png'>	<u>versus jaspar_core_vertebrates:</u>  HLF, CEBPA, Cebpa, </br><u>versus Schmidt_CEBPa_motif:</u>  do560+do843_mmus_cebpa_liver_meme_top_m1, </br>
oligos_8nt_mkv6_m5	<img border='1' height='50' src='results/discovered_motifs/oligos_8nt_mkv6_m5/peak-motifs_oligos_8nt_mkv6_m5_logo.png'>	<u>versus jaspar_core_vertebrates:</u>  CEBPA, CEBPB, CEBPA, </br><u>versus Schmidt_CEBPa_motif:</u>  do560+do843_mmus_cebpa_liver_meme_top_m1, </br>
positions_8nt_m1	<img border='1' height='50' src='results/discovered_motifs/positions_8nt_m1/peak-motifs_positions_8nt_m1_logo.png'>	<u>versus jaspar_core_vertebrates:</u>  CEBPA, CEBPA, Cebpa, </br><u>versus Schmidt_CEBPa_motif:</u>  do560+do843_mmus_cebpa_liver_meme_top_m1, </br>
positions_8nt_m2	<img border='1' height='50' src='results/discovered_motifs/positions_8nt_m2/peak-motifs_positions_8nt_m2_logo.png'>	<u>versus jaspar_core_vertebrates:</u>  CEBPB, CEBPA, Cebpa, </br><u>versus Schmidt_CEBPa_motif:</u>  do560+do843_mmus_cebpa_liver_meme_top_m1, </br>
positions_8nt_m3	<img border='1' height='50' src='results/discovered_motifs/positions_8nt_m3/peak-motifs_positions_8nt_m3_logo.png'>	<u>versus jaspar_core_vertebrates:</u>  CEBPA, CEBPB, CEBPA, </br><u>versus Schmidt_CEBPa_motif:</u>  do560+do843_mmus_cebpa_liver_meme_top_m1, </br>
positions_8nt_m4	<img border='1' height='50' src='results/discovered_motifs/positions_8nt_m4/peak-motifs_positions_8nt_m4_logo.png'>	<u>versus jaspar_core_vertebrates:</u>  CEBPA, CEBPB, Cebpa, </br><u>versus Schmidt_CEBPa_motif:</u>  do560+do843_mmus_cebpa_liver_meme_top_m1, </br>
positions_8nt_m5	<img border='1' height='50' src='results/discovered_motifs/positions_8nt_m5/peak-motifs_positions_8nt_m5_logo.png'>	<u>versus jaspar_core_vertebrates:</u>  CEBPA, CEBPB, CEBPA, </br><u>versus Schmidt_CEBPa_motif:</u>  do560+do843_mmus_cebpa_liver_meme_top_m1, </br>
dyads_m1	<img border='1' height='50' src='results/discovered_motifs/dyads_m1/peak-motifs_dyads_m1_logo.png'>	<u>versus jaspar_core_vertebrates:</u>  FOXL1, CEBPA, </br><u>versus Schmidt_CEBPa_motif:</u>  no match</br>
dyads_m2	<img border='1' height='50' src='results/discovered_motifs/dyads_m2/peak-motifs_dyads_m2_logo.png'>	<u>versus jaspar_core_vertebrates:</u>  FOXI1, </br><u>versus Schmidt_CEBPa_motif:</u>  no match</br>
dyads_m3	<img border='1' height='50' src='results/discovered_motifs/dyads_m3/peak-motifs_dyads_m3_logo.png'>	<u>versus jaspar_core_vertebrates:</u>  Ddit3::Cebpa, BRCA1, CEBPA, </br><u>versus Schmidt_CEBPa_motif:</u>  do560+do843_mmus_cebpa_liver_meme_top_m1, </br>
dyads_m4	<img border='1' height='50' src='results/discovered_motifs/dyads_m4/peak-motifs_dyads_m4_logo.png'>	<u>versus jaspar_core_vertebrates:</u>  FOXI1, </br><u>versus Schmidt_CEBPa_motif:</u>  no match</br>
dyads_m5	<img border='1' height='50' src='results/discovered_motifs/dyads_m5/peak-motifs_dyads_m5_logo.png'>	<u>versus jaspar_core_vertebrates:</u>  no match</br><u>versus Schmidt_CEBPa_motif:</u>  no match</br>
